0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:13 +0900] "GET /user/getCheckingInfo?selectSubject=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4&s_id=111&SubjectName=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B2%A0%EC%9D%B4%EC%8A%A4 HTTP/1.1" 200 3138
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:18 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:19 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:21 +0900] "POST /user/loginPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:21 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:21 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:47 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:47 +0900] "GET /resources/common/css/common.css HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:47 +0900] "GET /resources/images/Idino.png HTTP/1.1" 200 3567
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:47 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:49 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:49 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:55 +0900] "POST /user/loginPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:55 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:55 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:58 +0900] "GET /user/getCheckingInfo?selectSubject=&s_id=111&SubjectName= HTTP/1.1" 200 6029
0:0:0:0:0:0:0:1 - - [27/May/2021:09:27:58 +0900] "GET /user/getCheckingInfo?selectSubject=&s_id=111&SubjectName= HTTP/1.1" 200 6029
0:0:0:0:0:0:0:1 - - [27/May/2021:09:28:04 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:28:04 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:28:06 +0900] "GET /user/getCheckingInfo?selectSubject=%EC%9A%B4%EC%98%81%EC%B2%B4%EC%A0%9C&s_id=111&SubjectName=%EC%9A%B4%EC%98%81%EC%B2%B4%EC%A0%9C HTTP/1.1" 200 3633
0:0:0:0:0:0:0:1 - - [27/May/2021:09:28:06 +0900] "GET /user/getCheckingInfo?selectSubject=%EC%9A%B4%EC%98%81%EC%B2%B4%EC%A0%9C&s_id=111&SubjectName=%EC%9A%B4%EC%98%81%EC%B2%B4%EC%A0%9C HTTP/1.1" 200 3633
0:0:0:0:0:0:0:1 - - [27/May/2021:09:28:06 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:28:07 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:28:14 +0900] "GET /user/getCheckingInfo?selectSubject=&s_id=111&SubjectName= HTTP/1.1" 200 6029
0:0:0:0:0:0:0:1 - - [27/May/2021:09:28:14 +0900] "GET /user/getCheckingInfo?selectSubject=&s_id=111&SubjectName= HTTP/1.1" 200 6029
0:0:0:0:0:0:0:1 - - [27/May/2021:09:28:15 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:28:15 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:28:16 +0900] "GET /user/getCheckingInfo?selectSubject=&s_id=111&SubjectName= HTTP/1.1" 200 6029
